publishedAt,authorDisplayName,textDisplay,likeCount
2025-05-04T09:51:21Z,@deniferdiansyah92,gua nyusul doain yah 😊,0
2025-05-01T02:55:39Z,@MazralAbdmanaf,Warga indon harap cari makan dinegara orang.negara sendir miskin bro..,0
2025-04-27T23:51:34Z,@HitamPutih-ig6dh,Saya ingin meninggal dimekah bukan karena indonesia begini begitu tapi mengenai keyakinan saya itu mah,0
2025-04-23T18:19:20Z,@Antiliberal27-l1f,Apa yg mahu dibanggakan dari endon?,0
2025-04-14T19:04:47Z,@TomAva-j3u,Mantap . . Gua setuju . .,0
2025-04-13T12:11:23Z,@bambangsiswandi2372,Kami juga tak sudilihat  bangkai kamu,0
2025-04-04T07:55:45Z,@AmiAtika-b2x,"TK mau mati sebagai orang Indonesia 😂,nenek leluhur engkau orang Indonesia darah yg mengalir di tubuh engkau darah Indonesia,<br>Timnas Indonesia org belanda bangga jadi warganegara Indonesia,",0
2025-03-29T15:21:52Z,@masduki1104,"yg mau pergi dari indonesia di persilakan, g mau jadi orang indonesia ya silahkan, bagi saya negara indonesia adalah negara yang sangat baik yg telah alloh berikan kpd umatnya yg ada di bumi ini, syukuri apa yg telah tuhan berikan",0
2025-03-24T01:38:00Z,@PheliAtosnov,"minggat aja kalian yang ingin dari negeri ini, banyak orang asing yang ingin tinggal di negeri ini .........",0
2025-03-22T13:01:09Z,@indriindri9657,<b>PUSATWIN</b> tempatnya peluang besar dan kemenangan pasti!<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>PUSATWIN adalah pilihan yang tepat buat saya!<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>Aku 7 thn di LN tetapi selalu merindukan indonesia. Indonesia pokoknya the best lah buat saya. Terutama saat ramadhan,0
2025-03-20T13:35:17Z,@indriindri9657,<b>PUSATWIN</b> adalah pilihan yang tepat buat saya!<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>Aku 7 thn di LN tetapi selalu merindukan indonesia. Indonesia pokoknya the best lah buat saya. Terutama saat ramadhan,0
2025-03-20T09:20:59Z,@wawa_yussuf,"Setelah org tua aku menikah, mereka udah kabur lebih awal di tahun 2000 bersama semua keluarga mereka ke Malaysia. Alhamdulillah kami sekeluarga hidup dengan aman, damai &amp; sejahtera di Malaysia.",0
2025-03-20T03:08:54Z,@ronisahmanhot2048,Pengecut       ya  sudah   hapus  dari  data  nlri    haram   kakimu  injalk  indonesia    .,0
2025-03-18T23:04:30Z,@saragihturnip7703,mereka lebih memilih dipimpin nonis diluar negeri sana... lebih sejahtera,0
2025-03-18T15:22:50Z,@sumponosumpono5460,Turunan mana spesies mana yg mau pergi dari INDONESIA dipersilahkam bangsa INDONESIA BUKAN PENGECUT JAWA SUNDA DAYAĶ MELAYU SUMATRA BIAR KAMI YG MEMPERTAHANKAN NEGARA KAMI  KAMU2 PENDATANG KAN CARI HIDUP BETBISNIS DAN BERDAGANG DISINI KAYAKNYA GAK ADA JIWA NASIONALNYA  DULU DIKUASAI PENJAJAH KAMU KAMU  BIAR MAKMUR JILAT PENJAJAH DAN KAMI DIKIRA PERCAYA BEGOTU SAJA  BILANG KAMU YG PENDATANG ITU IMUT BERJUANG NGUSIR PENJAJAH  KUPETCAYAI TAPI ITU SUMIR KARENA KEBAIKAN JIWA NASIONAL KAMI SILAHKAN YG MERASA  PENFATANG UNTUK PERGI  DARI INDONESIA  DAK USAH AGITASI SAYA TAU KAMU ANTEK DARI BANGSA YG TIDAK SENANG INDONESIA MANDIRI  NKRI HARGA MATI.,2
2025-03-16T10:43:41Z,@liaamalia8288,"Jangan sombong!!tingal di luar  negeri Walaupun kamu sudah mendapatkan warga negara dari negara yang km tempati Kamu tetap warga asing!!Saya sudah menetap 50 thn di Belanda Dan telah mendapatkan warga negara , pertama saya menyesal Dan sekarang saya ingin masa tua saya(pensiun)di habis di Indonesia 🙏🙏(maaf Kalau kata2nya salah)",1
2025-03-16T08:10:43Z,@SaqilaPutri-g8l,1000000% benar,0
2025-03-16T03:29:08Z,@SamSung_15,Kan kamu orang malaydes ya tidak perlu mati sebagai orang Indonesia bule bule saja antri mahu mati sebagai WNI NKRI,0
2025-03-16T02:48:16Z,@GunawanOtomotif,Berlebih aja...Narasinya.<br>Hidup di Luar Indo...Bukan Pilihan Jaminan Baik.<br><br>Indo Tanah Air ..yg Gemar Impor,0
2025-03-15T14:44:05Z,@sinzgames1983,"Mau jadi WN mana pun ga ada yg ngelarang, tapi berhentilah menjelekkan negara sendiri, walopun loe keturunan VOC ato tionghoa, loe lahir disini bapak ibu lahir disini, kakek nenek loe lahir disini, sekalinya loe jelekin disini apa ga nyadar loe udah jelekin leluhur loe sendiri, semua negara punya masalahnya masing-masing, ga ada negara yg ga lepas dari masalah, klo masih pada bilang ga ada masalah nama nya loe bego bin goblok 😂😂😂😂",0
2025-03-15T10:06:03Z,@fathur_13,"Pergilah sesuka hatimu, Indonesia tidak perlu manusia macam kamu, dengan ucapan lebih cepat lebih baik.",0
2025-03-13T05:54:12Z,@TjandraWidjaja-po8cv,"Sampai bosan saya mau ngomong apa, Ah Sudahlah 🙄🙄🙄😤🤕",0
2025-03-13T05:51:30Z,@TjandraWidjaja-po8cv,"<a href=""https://www.youtube.com/watch?v=AaMMc0mhMKw&amp;t=90"">1:30</a> ....ya itu wajar, karena perekonomian anda sedang baik-baik saja, coba anda mengalami nasib seperti kami. Nah itulah kehidupan orang-orang yang tidak pernah ditempa dengan kerasnya kehidupan dan susahnya mencari perekonomian yang layak 😮☝️",0
2025-03-13T03:47:50Z,@wew1171,"lapangan kerja susah, buat apa bertahan di sini, wahai semua, berusaha lah cari kerja di LN spy tdk jadi bangkai di negri sendiri",0
2025-03-12T04:02:06Z,@zarwinunlimited33,"YANG KORUPTOR KENYANG SENDIRI, INDONESIA EMANG TAK ADA MALU😂😂😂<br>SAYA CUMA PERCAYA PRESIDEN DI INDONESIA, BENTENG TERAKHIR YANG GUA PERCAYA DI INDONESIA ADALAH KEPRESIDENAN, SELAIN ITU??? MEREKA SEMUA SEOLAH BERUPAYA MENGHANCURKAN INDONESIA SECARA BERJAMAAH 😂😂😂😂 DPR, MPR, GUBERNUR, BUPATI, CAMAT, LURAH , KADES. <br>APARTUR NEGARA SEPERTI POLISI , TNI , BAHKAN PERTAMINA, PT TIMAH, PT ANTAM , SEMUANYA GA BISA DI PERCAYA 😂😂😂😂 SAYA HANYA PERCAYA DAMKAR UDAH ITU AJA, SAYA FIKIR SEMUA AKAN BERFIKIR SAMA DENGAN SAYA,",0
2025-03-11T22:22:39Z,@AbdAsis-d6q,Prabowo paling  disuka Rakyat hidupkan petani hidupkan Rakyat,0
2025-03-11T14:32:40Z,@muhdimuhtar-j1g,Kabur aja kagak bakalan kaya di Indonesia Para pejabat banyak yg Korupsi .lingkaran setan budaya Memiskinkan Rakyat dan Negara. ...jadi korban Rakyat yg tak berdosa jadi Susah kehidupan ...😂😂😂😂,0
2025-03-11T10:01:05Z,@jokoutomo5048,Indonesia  is the best<br>Yang kabur biarkan .... awas kalau kembali ..... Sikat aja .... Pengkhianat ....,1
2025-03-11T08:18:39Z,@nailahaqish7955,Kalau Saya Sebagai Warga Konoha Saya Pun Lari😅😅,1
2025-03-11T01:24:50Z,@Madsurip4743,"Jangan kabur ,, kita kawal penguasa, kalau perlu gulingkan, revolusi",0
2025-03-11T01:00:30Z,@JohanJoe-i7t,"WAJARrrrr kalau Papua mau lepas dari NKRI ini,,la beginilah keadaannya",0
2025-03-10T08:14:38Z,@therealbalichannel3501,"Denger tagar kabur aja dulu, indonesua gelap, ngga pengin mati jadi warga  Indonesia, mules aja pengin kentut.  Emang hrs diomongin gituh? Emang hrs didengerin gituh? Elu siapa?  Do your best.  Kalao mo kabur, kabur aja.😂😂😂 ngapain diomongin? Pengin dpt simpati? Ngimpi lu",0
2025-03-09T13:01:48Z,@agusmardiono926,"Yang buat tagar &quot; Kabur Aja Dulu&quot; Silah sana kabur....tapi ingat Dia itu seorang koruptor  E-KTP, pertamina dll.",0
2025-03-09T10:43:48Z,@大海啊天,Patut diduga negri oligarchy yang munafik bermuka dua akan menanak panen dengki dari masyarakat nya sendiri karena dosa bangsa mereka turun temurun tidak ber integritas rampas hak asasi manusia. Tidak berkah. Patut diduga terbukti tidak berfaedah di muka bumi negri wakanda. Imigran ilegal merajalela di negri maju  dan menyedihkan mereka ini kalah bersaing di negri sendiri karena karma buruk.,0
2025-03-08T20:58:34Z,@jokerjoki909,Emng betul mending k luar negeri dlu 5 tthun..kerj dsna kaya..pulang..<br>Klau masih muda mending ksna..dr pd ngabisin wktu di konoha....krja 10 th jdi buruh gk bkaln kaya tp d luar 5 thun dah lumayan.kaya lah klau pulang...sy meyesal dlu gk k luar negeri..skrng sudah tua ...Ada kesempatn kerja k luar gasken jgn pikir pjng😅😅,0
2025-03-06T13:29:03Z,@cobacoba1566,"Tidak usah balik, tidak ada yang merindukanmu di sini, tidak ada pengaruh juga kalau balik, malah mungkin jadi benalu.",0
2025-03-06T04:39:13Z,@balongakichannel7555,"Indonesia tanah air beta.,,susah senang gembira banyak sodara tetangga,,,berbagi bersama aku cinta tanah air indonesia.,,ada yang setuju engga nih sama saya ,,",0
2025-03-05T18:52:02Z,@danyodsa,"Dont take seriously with the thing gone viral in Indonesia. Indonesia gelap, kaburajadulu yeah bentar juga ilang.. kebanyakan fomo aja..",0
2025-03-04T22:59:14Z,@jeffryleonardo9945,Betul,0
2025-03-04T10:49:14Z,@BocahLanang45,"♥️ Indonesia,,, saya berhasil di Indonesia.. tak ada harapan pupus bila kita tidak gengsi.. terima kasih banyak atas karunia&quot;MU ya Rabb,,, hamba bisa bahagiakan orang tua dan keluarga kecilku tanpa harus pergi rantau di negeri lain.. ❤ Indonesia ♥️ Indonesia ❤ Indonesia",1
2025-04-05T13:33:00Z,@hikigayah1151,"SEPONK MULYONO LU TUH, SAMPE INDONESIA BUBAR 🤣🤣🤣🤣🤣",0
2025-03-03T16:58:19Z,@KerengPangi-p8w,Lagian luci negara swmrawut lu od kabur....kalo cerdas kesini lu jd pemimpin dan oerbaiki negeri 8ni gimna caranya jgn cm mengkritik to ga ba membangun ... pembangunan di Indonesia ini di mulai dr kita sendiri ....senyaman2nya negara org lbh nyaman di rmh swnsiri ugn kira negara org ga ada masalah,0
2025-03-03T14:03:13Z,@jasabakarabakara4387,"Seluruh Dunia akan sedang bermasalah, ingat ucapanmu jgn kembali ke Indonesia bila negara kemana engkau lari bermasalah ya!!!",0
2025-03-03T04:39:04Z,@julindaaritonang7337,"Apakah baik nya rakyat lndonesia semua kabur aja dulu ke luar negeri, karena lndonesia sdh hancur di lima tahun ini, apakah sebaik nya lndonesia di kosongkan aja dulu ,",0
2025-03-02T21:27:48Z,@inuihachannel5289,Setiap orang ga bisa memilih utk tidak dilahirkan di indonesia,0
2025-03-02T17:09:25Z,@komrisbi2348,Minggat aja gak usah balik lagi kalian..masih banyak yg ingin bidup di Indonesia..,1
2025-03-02T14:42:30Z,@padekaryono8159,Pemerintah tak mau buat lapangan kerja,0
2025-03-02T12:09:45Z,@KodirKodir-k9i,"I LOVE YOU INDONESIA, NKRI HARGA MATI...",0
2025-03-01T21:29:11Z,@TEBU_PAHIT_77,"Salam dari malaysia 🇲🇾😬, semangat rakyat Indonesia 😁 nkri harga mati 💪🏼😆",0
2025-03-01T20:20:39Z,@WarungJidur,Pasti ada konspirasi intel asing dalam menunggangi.....dengan melemahkan jiwa nasionalisme generasi muda.,0
2025-03-01T10:16:53Z,@ketutbudiarsa25,Yang Mau Silakan pergi dari Indonesia kau juga bikin repot,0
2025-03-01T10:12:56Z,@Pelly_Peecheck,"Wajahnya seperti Wibu sange yang mementingkan kebebasan daripada moralitas, makanya lari ke Amerika (Liberal).",0
2025-02-28T18:30:40Z,@rionakanose8049,Yang mah PD pergi dari indonesia PD pergi sono.jangan PD balik lagi..di luar negri enak gaji gede ..jangan kalo lgi susahnya doang PD teriak2 ngemis2 sama pemerintah..giliran senang diem diem Bae di Nagara orang..giliran susah di negara orang seluruh indonesia lu bikin repot..manusia tolol😂😂😂,0
2025-02-28T13:11:38Z,@musleham5789,Bagusss tak usah balik3,0
2025-02-28T12:38:49Z,@joyomini-e5i,Minggat kono  ojo balik koe,0
2025-02-28T04:08:01Z,@fajarfirdaus1526,"Yang ingin kabur tinggal angkat kaki saja dan jangan lagi injakan kaki lagi di Indonesia, biar Indonesia lebih aman ga ada manusia 2 sampah seperti kalian,  ga usah banyak bacot okey....",0
2025-02-27T17:44:09Z,@anasfachturachman9302,Minggat minggat o....Tak Jagane dewe NKRI...,0
2025-02-27T16:47:45Z,@SuuYouu-y4u,Benar kata presiden pertama &quot;saya takut ada musuh dalam selimut di negri ini. 2045 negara ini akan hancur,0
2025-02-27T12:36:17Z,@warga_gunjengTSM,Alhamdulillah Bangga jadi Warga Negara Indonesia sampai saat ini bahkan sampai mati,0
2025-02-27T10:02:53Z,@garudamerahputih1803,biarkan saja yang mau ikt iktan kabur aza dulu kalo perlu gak perlu balik sampai beranak pinak diluar sana.....ingat jangan anak cucu  suatu saat nanti ada penyesalan dimana pda masa itu indo adalah negara yang tersisa sebagai lumbung segala lumbung..........,0
2025-02-27T09:09:56Z,@IrfanIrfan-i5s4y,Yg ingin kabur dari negara sendiri ke negara orang lain. Mngkin hidupnya gak tenang. Atau kurang beruntung. Lhaaaa. Hidup gak tenang dan kurang beruntung kok menyalahkan negara. Negara ada yg ngatur. Ada pejabat  yg bagian ngatur. Kita rakyat jelata mah ngatur diri sndiri. Semua itu karena dari ulah pikiran diri sendiri. Makanya punya hati itu jangan mudah terusik. Klo dah mrasa hati tenang jgn di usik. (Namanya jg manusia)😂😂😂,1
2025-02-27T04:52:03Z,@ZHYPHYT,Yg mau kabur silahkan... Mengurangi populasi dan mengurangi pengecut d negri ini...,1
2025-02-26T20:18:27Z,@Penang-u5u,Mantap lah kabur aja sebanyak banyak nya ...biar semakin mengurangi persaingan di negara sendiri 🤣🤣🤣,0
2025-02-26T17:12:02Z,@fauzansalwa1234,mimggat aja jangan balik lg awas,0
2025-02-26T14:58:44Z,@Agus_Arabia,Mau mati sbg apapun jika TANPA keimanan maka akan sengsara kekal abadi.,0
2025-02-26T14:35:21Z,@DoelkenInvestama-o1p,BBC media provokator bangsa,0
2025-02-26T14:33:19Z,@DoelkenInvestama-o1p,Kabur jadi babu diluar negeri itu lebih menyedihkan mbak mas mending disini indonesia punya kita sendiri,0
2025-02-26T14:03:18Z,@sawit7380,Indonesia terlalu kaya dengan budaya Korupsi .. Pungli .. Rasuah .. Preman .. Oknum .. Ormas .. IQ Rendah ...<br>Permimpin tidak jelas .. Infrastructure tak cukup ...<br>Pelabur takut masok .. yang sudah ada .. kabur ...<br>Projek besar besaran IKN mangkrak .. jadi kota jengkrek ...<br>Selalu iri hati dengan kemajuan  negara jiran ...<br>Sampai tujuh keturunan pun .. Indonesia tak akan maju .. rakyat menderita ... <br><br>INDONESIA GELAP ...<br>KABUR AJA DULU !!!,0
2025-02-26T12:48:48Z,@UnggulTj-yj8jz,Lha ndak balik pun negeri ini ndak lehilangan...<br><br>NKRI Dibangun dari Nasional7sme pengorbanan dan perjuangan bung...<br>Jangan kau bolak balik logikanya..<br>Kerja LN is oke tapi jangan kau frsming kabur dulu...itu provokasi dan ndak nasionalis..,0
2025-02-26T09:24:15Z,@dxntrc,"nov lalu dari jp balik ke indo. disana tenaga kita sangat dihargai dan di butuhkan. pas pulang ke indo nganggur sampai sekarang ga jadi apa2😂<br> tabungan semakin menipis, cari loker susah minta ampun. ditambah loker  indo diskriminatif soal usia.",0
2025-02-26T06:57:51Z,@abdulsubur7663,Perkataan dari beberapa gelintir mulut kotor warga boleh di bilang dari perkataanya bukan lagi orang indonesia.segelintir di banding dengan beberapa gelintir warga negara negara tetangga begitu bahagia dan bangga bisa datang berkunjung ke Indonesia.ini malah warga Indonesia sendiri malah bicara ngawur.,0
2025-02-26T03:59:59Z,@lalakumala7297,Kabur dari indonesia itu&#39; enak nya di negara jerman&#39; aman. Kata bapak ku dulu.,0
2025-02-26T03:55:10Z,@masnir1072,NKRI tidak butuh orang yang tidak punya jiwa nasionalis macam Lu ...😅😅😅,0
2025-02-26T02:46:10Z,@samiatullaili,"KELUAR SEGERA DARI INDONESIA MAU MATI  SEBAGAI WARGA. MALAYSIA., SINGAPUR  , ISRAEL TIDAK BAWA KERUGIAN BAGI INDONESIA",0
2025-02-25T17:25:32Z,@Oimmarsidi,Silahkan angkat kaki dari Indonesia untuk orang orang dungu,0
2025-02-25T14:09:30Z,@MuliyanaMuli-z1e,Dasar pengecut,0
2025-02-25T14:08:17Z,@MuliyanaMuli-z1e,Jangan baleklah negarku tak butuh kao,0
2025-02-25T14:00:26Z,@BungPomo,Gak ngaroh kalau gak balik,0
2025-02-25T09:11:14Z,@masbawor5635,"Pergilah pergi jangan banyak cakap orang orang an nasionalis ksni ,! Indonesia tak butuh orang orang an nasionalis tau ! Kami hanya membanggakan orang orang yang siap membangun negri ini tidak malah kabur hanya cari enaknya saja tanpa siap bersaing di negri sendiri,tolol itu orang orang ,pergi dan cabut kewarganegaraannya .",0
2025-02-25T07:37:59Z,@orisinalification,bukan aku yang tiap hari baca buku kriminologi dan buku ilmiah soal kejahatan di luar. Mending di sini. Aku mau keliar kalau ada y mau bayarin aku sekolah pasca sarjana Kriminologi.,0
2025-02-24T23:57:29Z,@HarisHermawan-s3v,Ga balik ya udh,0
2025-02-24T15:13:57Z,@MuhammadSuhaeri-we8kk,"Bebas bebas saja bagi yang mau tetep jadi warga negara Indonesia atau jadi warga negara asing, Indonesia tetep Indonesia dan tidak akan rugi karena kalian sudah tidak lagi menjadi warga negara Indonesia",0
2025-02-24T14:10:31Z,@PutuYunda-e7o,"KALO MAU KABUR, YA KABUR AJA NDIRI SONO....GAK USAH NGAJAK NGAJAK YAA..😂",0
2025-02-24T14:10:14Z,@Tsukilunabulan,"Ya ngapain juga balik, kita udah 79 tahun merdeka, dan agustus tahun ini akan 80 tahun merdeka, DELAPAN PULUH TAHUN merdeka tapi TROTOAR aja masih RUSAK. Bayangin…<br><br>Singapura merdeka jauh lebih lama daripada kita, Malaysia juga lebih lama dari kita. Jepang kena DUA BOM ATOM. Korsel hancur karena dijajah habis habisan. China miskin dan kebanyakan populasi. Tapi liat dimana mereka semua sekarang. Singapura, Jepang, Korsel udah maju. China ekonomi nomor dua di dunia dan sudah de facto sangat maju. Malaysia sebentar lagi akan diklasifikasikan sebagai negara maju. Sedangkan Indo? MASIH OBSESI SOAL AGAMA DAN KORUPSI DAN SEX BEBAS.",1
2025-02-24T09:40:18Z,@Dodo.0.1,"kalo belum siap untuk terjun, uji mental dulu 😅",0
2025-02-24T06:49:24Z,@TheShackledWings,gw tinggal dsni bayar pajak prtahun di rupiahkan 20 juta <br>eh yg di ambil cuma 2 juta <br>18 juta nya di balikin .. <br>2014-2019 krj d indonesia seumur umur gk prnh pajak ada kmbalian ..<br>udah itu aja gambaran awal nya lu pada mikir sndri ..,0
2025-02-24T06:11:21Z,@vlx714,salam dari malaysia,0
2025-02-24T05:30:48Z,@imamhidayat5971,"Ini seleksi alam..<br>kabur aja dulu ga da yg salah..<br>Tp saat kabur aja dulu.. Tetap mjd Indonesia.. Krn toh, sejarahnya bgs Indonesia itu ya perantau.. (sprti dlm lagu Indonesua pusaka).. Tp tetap yg merantau itu  merasa dan bangga bahwa dia Indonesia..<br>Entah nantinya dia balik ke Indonesia atau tidak.  Dia hrs merasa bangga mjd Indonesia",5
2025-02-24T03:10:20Z,@sumberagung315,"Saya indonesia,.baik buruk keadaan skr kita nikmati ditanah air",0
2025-02-24T02:45:00Z,@fransc_28,"Setuju dgn pernyataan sdr Joseph. Saya sudah 17th di Australia, beruntung orang tua saya menjadikan saya sebagai individu yg bisa mandiri.<br>Saat itu saya harus meninggalkan anak dan istri, terlebih meninggalkan anak saat itu masih berusia 6 bulan. Teringat saat menyedihkan saat menderita sakit harus membawa badan ini terseok2 ke klinik demi mendapatkan kesembuhan di negara orang. <br><br>Sebagai masukan aja ya, ada kenalan org Imigrasi Australia yg berkata kalau org2 dari Indo adalah bangsa yg paling sering melaporkan sesama bangsanya sendiri untuk masalah imigrasi dibandingkan dengan bangsa2 yang lain.<br><br>Di kasus lain, ada seorang teman yg memberikan tumpangan pada temannya untuk tinggal di rmhnya saat pertama x datang, setelah mendapatkan pekerjaan, temannya itu sama sekali gak mau keluar dari rmhnya bahkan akhirnya ribut dan putus pertemanan karena hal ini.<br><br>Sayapun pernah mengalami kasus dimana ada org indo yg belum lama ke OZ menitipkan CV ke saya untuk disampaikan ke atasan saya. Jujur saya jg blom terlalu kenal dgn org ini. Saya cuma membantu menyerahkan CVnya ke atasan saya. Soal keputusan khan tergantung atasan saya. Kebetulan saat itu atasan saya belum membutuhkan tenaga baru. Parahnya org ini malah ngata2in saya dgn kata2 yg buruk.<br><br>Memang jujur gak semua org spt di atas, tetapi karena uda terlalu banyak org2 seperi ini, org yg bener jadi terdampak. Sejujurnya saja bnyk org2 indo yg sudah sgt lama tinggal di sini uda enggan bergaul dgn org2 indo bahkan membantu sesama org Indo.<br><br>Jadi kalau emang mau bermigrasi, kuatkan mental dan berusaha untuk semandiri mungkin. Sejauh ini saya hampir gak pernah minta bantuan dari orang lain, bahkan org2 yg justru menawarkan bantuan ke saya. Karakter kita harus bagus gak cuma dlm kerjaan doang tapi ke siapa saja di lingkungan kita.<br><br>Masalah terbanyak yg sering terjadi pada generasi sekarang adalah kurangnya kemandirian dan mental yg kurang kuat. Pertanyaannya apakah mereka mampu melewati kehidupan dlm kesendirian tanpa bantuan dari siapapun?",0
2025-02-24T02:36:48Z,@EndiSetiadi-hy7mk,"Hidup itu pilihan masing2 kalau buat dia itu yg terbaik ya gpp, indonesia juga gak kekurangan orang2 kayak kalian yg keluar negeri, kabir 1 lahir 50 😂",0
2025-02-24T00:37:03Z,@Desnita_PRATIWI_Sharsa,"Masalahnya nyari kerja susah di indonesia,bahkan kerja buruh pabrik aja harus bayar puluhan juta,yang hidup terjamin hanya pns,rakyat biasa buat beli beras aja susah,diluar negeri jadi kerja caffe,atau cleaner hotel hospital mudah,tinggal masuk tanpa ijazah yang penting mau kerja,12jam udah dapat 9juta kerja hospital cleaner",0
2025-02-24T00:35:17Z,@mozaikvarica,"Nasionalisme dan cita-cita itu penting. Seimbangkan,jangan berlebihan. Tuk yg muda2, sebaiknya dikontrol perkataan karena nanti suatu saat anda makin dewasa,anda akan menyesali perkataan anda yg lalu.",0
2025-02-23T22:32:42Z,@Miftah2023-i9c,Pergi ajh sana gk usah balik lg,0
2025-02-23T18:00:15Z,@HakimHsb-r1c,"Bos bantu saya pindah negara , sya srius 🙏🙏🙏",0
2025-02-23T15:45:30Z,@Sugianto2727-dd3yp,Sengkuni ketok yo nginiki .contoh orang penghianat yo nginiki.,0
2025-02-23T15:24:22Z,@IinCitra-z8f,"Sebner nya sih hidup diluar negri sama aja kya di indonesia,bkn di indonesia saja yg lg ssh cari duit di stiap negra itu skrg sama gaes..cobain deh sini hidup diluar negri sprti apa...ibarat kata seenak2 nya kita numpang dirumh org lebih enak dan nyaman dirumh sndri",0
2025-02-23T14:14:49Z,@Elkamprett,DI INDONESIA DILARANG ADA KOMUNITAS LGBT DAN PERILAKU MENYIMPANG...MAKANYA PADA KABUR KE LUAR NEGRI YANG BEBAS ORMAS AGAMA...😅,0
2025-02-23T14:04:42Z,@semusim219,Kalau di luar negri sukses lupa Indonesia. Kalau ada masalah baru teriak minta perlindungan . Dulu dulu biasanya begitu sekarang sih.....,0
2025-02-23T13:29:42Z,@ezraME31,Di kira enak di negeri orang,0
